created_local,updated_local,slot_id
2019-09-11T08:27:42.000000,2019-09-17T09:34:45.000000,10
2019-09-17T15:03:20.000000,2019-09-17T17:48:47.000000,10
2019-09-19T11:12:25.000000,2019-09-19T18:25:00.000000,10
2019-09-20T12:57:43.000000,2019-09-21T17:29:21.000000,10
2019-09-23T09:23:01.000000,2019-09-23T15:14:56.000000,10
2019-09-25T19:47:02.000000,2019-09-28T10:16:15.000000,10
2019-09-28T10:36:50.000000,2019-09-29T11:18:15.000000,10
2019-09-29T11:58:58.000000,2019-09-29T14:03:52.000000,10
2019-09-30T09:00:46.000000,2019-09-30T11:56:47.000000,10
2019-09-30T16:23:23.000000,2019-09-30T19:45:51.000000,10
2019-10-10T08:37:27.000000,2019-10-12T14:44:11.000000,10
2019-10-13T10:42:40.000000,2019-10-13T11:46:43.000000,10
2019-10-13T13:07:51.000000,2019-10-16T10:42:24.000000,10
2019-10-17T14:08:22.000000,2019-10-18T09:22:58.000000,10
2019-10-18T20:18:03.000000,2019-10-19T09:15:17.000000,10
2019-10-20T09:29:30.000000,2019-10-20T15:02:07.000000,10
2019-10-24T08:34:18.000000,2019-10-27T14:58:48.000000,10
2019-10-27T15:39:21.000000,2019-11-01T09:17:02.000000,10
2019-11-02T14:25:15.000000,2019-11-02T15:37:35.000000,10
2019-11-03T12:32:58.000000,2019-11-04T18:25:40.000000,10
2019-11-05T10:46:32.000000,2019-11-05T17:16:44.000000,10
2019-11-08T09:05:05.000000,2019-11-09T13:45:41.000000,10
2019-11-11T19:41:57.000000,2019-11-15T14:06:52.000000,10
2019-11-16T08:47:01.000000,2019-11-16T17:29:03.000000,10
2019-11-16T18:12:25.000000,2019-11-17T15:03:38.000000,10
2019-11-18T09:27:57.000000,2019-11-18T17:54:31.000000,10
2019-11-18T20:29:14.000000,2019-11-23T16:40:49.000000,10
2019-11-24T10:23:38.000000,2019-11-24T13:45:08.000000,10
2019-11-24T15:19:55.000000,2019-11-25T12:14:19.000000,10
2019-11-26T08:30:19.000000,2019-11-28T20:46:54.000000,10
2019-11-29T07:56:10.000000,2019-11-29T13:55:50.000000,10
2019-11-30T10:43:59.000000,2019-12-02T13:28:26.000000,10
2019-12-03T09:10:40.000000,2019-12-03T13:57:00.000000,10
